Global seed set to 42
Loading dataset from data_1...
Found 10 classes: ['0', '1', '2', '3', '4'] ...
Global seed set to 42
Loading dataset from data_2...
Found 100 classes: ['apple', 'aquarium_fish', 'baby', 'bear', 'beaver'] ...
Dataset loaded: 50000 images in 64.94 seconds.
Dataset loaded: 60000 images in 87.46 seconds.
Training on 48000, Validating on 12000
Training on 40000, Validating on 10000

Epoch 1/100 | Time: 169.8s | Loss: 4.5697 | Train Acc: 1.72%
--- Evaluating on Epoch 1 Val ---

Epoch 1/100 | Time: 223.6s | Loss: 0.8032 | Train Acc: 73.70%
--- Evaluating on Epoch 1 Val ---

Overall Accuracy: 3.55% (355/10000)
Class      Precision  Recall     F1-Score  
----------------------------------------
0          0.1690     0.1348     0.1500
1          0.0000     0.0000     0.0000
2          0.0153     0.0215     0.0179
3          0.0000     0.0000     0.0000
4          0.0000     0.0000     0.0000
5          0.0000     0.0000     0.0000
6          0.0000     0.0000     0.0000
7          0.0175     0.0104     0.0131
8          0.0000     0.0000     0.0000
9          0.0000     0.0000     0.0000
10         0.0000     0.0000     0.0000
11         0.0000     0.0000     0.0000
12         0.0435     0.0097     0.0159
13         0.0000     0.0000     0.0000
14         0.0000     0.0000     0.0000
15         0.0000     0.0000     0.0000
16         0.0000     0.0000     0.0000
17         0.0000     0.0000     0.0000
18         0.0000     0.0000     0.0000
19         0.0000     0.0000     0.0000
20         0.0225     0.1942     0.0403
21         0.0169     0.0103     0.0128
22         0.0000     0.0000     0.0000
23         0.0000     0.0000     0.0000
24         0.0400     0.0225     0.0288
25         0.0000     0.0000     0.0000
26         0.0000     0.0000     0.0000
27         0.0000     0.0000     0.0000
28         0.0000     0.0000     0.0000
29         0.0000     0.0000     0.0000
30         0.0000     0.0000     0.0000
31         0.0000     0.0000     0.0000
32         0.0000     0.0000     0.0000
33         0.0909     0.0127     0.0222
34         0.0215     0.0952     0.0350
35         0.0000     0.0000     0.0000
36         0.0000     0.0000     0.0000
37         0.1481     0.0360     0.0580
38         0.0000     0.0000     0.0000
39         0.0000     0.0000     0.0000
40         0.0164     0.0233     0.0192
41         0.0000     0.0000     0.0000
42         0.0000     0.0000     0.0000
43         0.0000     0.0000     0.0000
44         0.0000     0.0000     0.0000
45         0.0000     0.0000     0.0000
46         0.0833     0.0112     0.0198
47         0.0000     0.0000     0.0000
48         0.0000     0.0000     0.0000
49         0.0000     0.0000     0.0000
50         0.0294     0.0098     0.0147
51         0.0239     0.1158     0.0396
52         0.0714     0.0208     0.0323
53         0.0589     0.9688     0.1110
54         0.3333     0.0088     0.0171
55         0.0000     0.0000     0.0000
56         0.0000     0.0000     0.0000
57         0.0000     0.0000     0.0000
58         0.0000     0.0000     0.0000
59         0.0455     0.0796     0.0579
60         0.1875     0.1101     0.1387
61         0.0000     0.0000     0.0000
62         0.1000     0.0194     0.0325
63         0.0000     0.0000     0.0000
64         0.0000     0.0000     0.0000
65         0.0000     0.0000     0.0000
66         0.0000     0.0000     0.0000
67         0.0000     0.0000     0.0000
68         0.0000     0.0000     0.0000
69         0.0000     0.0000     0.0000
70         0.0000     0.0000     0.0000
71         0.0489     0.5435     0.0898
72         0.0870     0.0185     0.0305
73         0.0000     0.0000     0.0000
74         0.0000     0.0000     0.0000
75         0.0556     0.0090     0.0155
76         0.0000     0.0000     0.0000
77         0.0000     0.0000     0.0000
78         0.0000     0.0000     0.0000
79         0.0000     0.0000     0.0000
80         0.0000     0.0000     0.0000
81         0.0000     0.0000     0.0000
82         0.0000     0.0000     0.0000
83         0.0000     0.0000     0.0000
84         0.0000     0.0000     0.0000
85         0.0000     0.0000     0.0000
86         0.0516     0.3514     0.0900
87         0.0180     0.0233     0.0203
88         0.0000     0.0000     0.0000
89         0.0541     0.0189     0.0280
90         0.0242     0.0268     0.0254
91         0.0213     0.6413     0.0412
92         0.0000     0.0000     0.0000
93         0.0180     0.0198     0.0189
94         0.0000     0.0000     0.0000
95         0.0000     0.0000     0.0000
96         0.0000     0.0000     0.0000
